country,countryCode,league,link,link2
Northern Ireland,NIR,NIFL Premiership 2016/17,http://www.betexplorer.com/soccer/northern-ireland/nifl-premiership-2016-2017/results/?stage=hGMWMdT0,
Norway,NOR,Eliteserien 2017,http://www.betexplorer.com/soccer/norway/eliteserien-2017/results/?stage=jaO9IgpT,
Oman,OMN,Professional League 2016/17,http://www.betexplorer.com/soccer/oman/professional-league-2016-2017/results/,
Pakistan,PAK,Premier League 2014/15,http://www.betexplorer.com/soccer/pakistan/premier-league-2014-2015/results/,
Palestine,PSX,West Bank League 2016/17,http://www.betexplorer.com/soccer/palestine/west-bank-league-2016-2017/results/,
Panama,PAN,LPF 2016/17,http://www.betexplorer.com/soccer/panama/lpf-2016-2017/results/?stage=dIUb3Ae8,http://www.betexplorer.com/soccer/panama/lpf-2016-2017/results/?stage=lQn61lQK
Paraguay,PRY,Primera Division 2017,http://www.betexplorer.com/soccer/paraguay/primera-division-2017/results/?stage=EXiwumCO,http://www.betexplorer.com/soccer/paraguay/primera-division-2017/results/?stage=KffU3WlP
Peru,PER,Primera Division 2017,http://www.betexplorer.com/soccer/peru/primera-division-2017/results/?stage=YNoCAaLj,http://www.betexplorer.com/soccer/peru/primera-division-2017/results/?stage=hlh7Y2Dc
Philippines,PHL,PFL 2017,http://www.betexplorer.com/soccer/philippines/pfl-2017/results/,
Poland,POL,Ekstraklasa 2016/17,http://www.betexplorer.com/soccer/poland/ekstraklasa-2016-2017/results/?stage=hYVk7Jqe,
Portugal,PRT,Primeira Liga 2016/17,http://www.betexplorer.com/soccer/portugal/primeira-liga-2016-2017/results/,
Qatar,QAT,Premier League 2016/17,http://www.betexplorer.com/soccer/qatar/premier-league-2016-2017/results/,
Republic of the Congo,COG,Ligue 1 2017,http://www.betexplorer.com/soccer/republic-of-the-congo/ligue-1-2017/results/,
Réunion,REU,Regionale 1 2017,http://www.betexplorer.com/soccer/reunion/regionale-1-2017/results/,
Romania,ROU,Liga 1 2016/17,http://www.betexplorer.com/soccer/romania/liga-1-2016-2017/results/?stage=dYGCKnD5,
Russia,RUS,Premier League 2016/17,http://www.betexplorer.com/soccer/russia/premier-league-2016-2017/results/,
Rwanda,RWA,National Football League 2016/17,http://www.betexplorer.com/soccer/rwanda/national-football-league-2016-2017/results/,
San Marino,SMR,Campionato Sanmarinese 2016/17,http://www.betexplorer.com/soccer/san-marino/campionato-sammarinese-2016-2017/results/?stage=vRe9fwBa,
Saudi Arabia,SAU,Saudi Professional League 2016/17,http://www.betexplorer.com/soccer/saudi-arabia/saudi-professional-league-2016-2017/results/,
Scotland,SCT,Premiership 2016/17,http://www.betexplorer.com/soccer/scotland/premiership-2016-2017/results/?stage=tvOp6oW0,
Senegal,SEN,Ligue 1 2016/17,http://www.betexplorer.com/soccer/senegal/ligue-1-2016-2017/results/,
Serbia,SRB,Super Liga 2016/17,http://www.betexplorer.com/soccer/serbia/super-liga-2016-2017/results/?stage=jckSYYa2,
Seychelles,SYC,Division 1 2017,http://www.betexplorer.com/soccer/seychelles/division-one-2017/results/,
Sierra Leone,SLE,Premier League 2014,http://www.betexplorer.com/soccer/sierra-leone/premier-league-2014/results/,
Singapore,SGP,S League 2017,http://www.betexplorer.com/soccer/singapore/s-league-2017/results/,
Slovakia,SVK,Fortuna Liga 2016/17,http://www.betexplorer.com/soccer/slovakia/fortuna-liga-2016-2017/results/,
Slovenia,SVN,Prva Liga 2016/17,http://www.betexplorer.com/soccer/slovenia/prva-liga-2016-2017/results/,
Somalia,SOM,National Link Telecom Championship 2016/17,http://www.betexplorer.com/soccer/somalia/nation-link-telecom-championship-2016-2017/results/,
South Africa,ZAF,Premier Soccer League 2016/17,http://www.betexplorer.com/soccer/south-africa/premier-league-2016-2017/results/,
South Korea,KOR,K-League 2017,http://www.betexplorer.com/soccer/south-korea/k-league-classic-2017/results/,
Spain,ESP,La Liga 2016/17,http://www.betexplorer.com/soccer/spain/laliga-2016-2017/results/,
Sri Lanka,LKA,Champions League 2017,http://www.betexplorer.com/soccer/sri-lanka/champions-league-2017/results/,
Sudan,SDN,Premier League 2017,http://www.betexplorer.com/soccer/sudan/premier-league-2017/results/,
Swaziland,SWZ,Premier League 2016/17,http://www.betexplorer.com/soccer/swaziland/mtn-premier-league-2016-2017/results/,
Sweden,SWE,Allsvenskan,http://www.betexplorer.com/soccer/sweden/allsvenskan-2017/results/,
Switzerland,CHE,Super League 2016/17,http://www.betexplorer.com/soccer/switzerland/super-league-2016-2017/results/,
Syria,SYR,Premier League 2016/17,http://www.betexplorer.com/soccer/syria/premier-league-2016-2017/results/,
Tajikistan,TJK,Vysshaya Liga 2017,http://www.betexplorer.com/soccer/tajikistan/vysshaya-liga-2017/results/,
Tanzania,TZA,Ligi Kuu Bara 2016/17,http://www.betexplorer.com/soccer/tanzania/ligi-kuu-bara-2016-2017/results/,
Thailand,THA,Premier League 2017,http://www.betexplorer.com/soccer/thailand/thai-premier-league-2017/results/,
Togo,TGO,Championnat National 2016/17,http://www.betexplorer.com/soccer/togo/championnat-national-2016-2017/results/,
Trinidad and Tobago,TTO,Pro League 2017,http://www.betexplorer.com/soccer/trinidad-and-tobago/pro-league-2017/results/,
Tunisia,TUN,Ligue Professionelle 1,http://www.betexplorer.com/soccer/tunisia/ligue-professionnelle-1-2016-2017/results/?stage=lCD06CaG,
Turkey,TUR,Super Lig 2016/17,http://www.betexplorer.com/soccer/turkey/super-lig-2016-2017/results/,
Turkmenistan,TKM,Yokary Liga 2017,http://www.betexplorer.com/soccer/turkmenistan/yokary-liga-2017/results/,
Uganda,UGA,Premier League 2016-17,http://www.betexplorer.com/soccer/uganda/premier-league-2016-2017/results/,
Ukraine,UKR,Pari Match League 2016/17,http://www.betexplorer.com/soccer/ukraine/pari-match-league-2016-2017/results/?stage=2ayYlSu7,
United Arab Emirates,ARE,UAE League 2016/17,http://www.betexplorer.com/soccer/united-arab-emirates/uae-league-2016-2017/results/,
Uruguay,URY,Primera Division 2017,http://www.betexplorer.com/soccer/uruguay/primera-division-2017/results/?stage=bseWdDvG,http://www.betexplorer.com/soccer/uruguay/primera-division-2017/results/?stage=tjIrdXgM
USA,USA,MLS 2017,http://www.betexplorer.com/soccer/usa/mls-2017/results/?stage=6c50sVCa,
Uzbekistan,UZB,Professional Football League 2017,http://www.betexplorer.com/soccer/uzbekistan/professional-football-league-2017/results/,
Venezuela,VEN,Primera Division 2017,http://www.betexplorer.com/soccer/venezuela/primera-division-2017/results/?stage=xS4Ax0Kq,http://www.betexplorer.com/soccer/venezuela/primera-division-2017/results/?stage=Wl4EyKZk
Vietnam,VNM,V League 2017,http://www.betexplorer.com/soccer/vietnam/v-league-2017/results/,
Wales,WLS,Premier League 2016/17,http://www.betexplorer.com/soccer/wales/premier-league-2016-2017/results/?stage=QLbRvUMh,
Yemen,YEM,Division 1 2013/14,http://www.betexplorer.com/soccer/yemen/division-1-2013-2014/results/,
Zambia,ZMB,Super League 2017,http://www.betexplorer.com/soccer/zambia/super-league-2017/results/,
Zimbabwe,ZWE,Premier Soccer League 2017,http://www.betexplorer.com/soccer/zimbabwe/premier-soccer-league-2017/results/,
